School,2025 School Ranking,2024 School Ranking,2023 School Ranking,Success Rate (%),HSC Students,Total HSC exam entries,High Scores
St Scholastica’s College Glebe Point,127,124,117,14.43,147,866,125
Marcellin College,128,113,90,14.42,116,652,94
The Hills Grammar School,129,69,97,14.41,78,451,65
Marist College Kogarah,130,160,73,14.22,123,647,92
Emmanuel Anglican College,131,135,174,14.18,54,275,39
St Charbel’s College,132,159,176,14.14,77,396,56
St Pius X Collefe,133,128,186,14.12,132,800,113
Domremy Catholic College,134,112,103,14.11,85,482,68
St Patrick’s College Sutherland,135,169,156,14.01,168,971,136
Xavier Catholic College Ballina,136,141,107,13.89,106,583,81
Oakhill College,137,119,160,13.58,398,2401,326
Northern Beaches Secondary College Freshwater Senior Campus,138,116,101,13.54,321,1617,219
Wollemi College,139,282,193,13.5,39,200,27
William Clarke College,140,122,104,13.35,200,1056,141
Killara High School,141,90,77,13.3,275,1444,192
Ryde Secondary College,142,98,133,13.28,218,1160,154
Burwood Girls High School,143,104,147,13.02,190,1029,134
Dulwich High School of Visual Arts and Design,144,171,157,12.87,109,567,73
Undisclosed,145,,,,,,
Australian International School Hong Kong,146,75,76,12.7,42,244,31
St Patrick’s Marist College,147,152,168,12.59,124,699,88
Asquith Girls High School,148,212,183,12.45,97,482,60
Cerdon College,149,179,112,12.38,160,929,115
